episode,length,totalReward,avgQ,exploration
159,200,-200.0,-27.00948143005371,0.6192281865876756
160,200,-200.0,-27.680252075195312,0.6173760584124384
161,200,-200.0,-27.71132469177246,0.6155294700024312
162,200,-200.0,-27.712804794311523,0.6136884047880671
163,200,-200.0,-27.718740463256836,0.6118528462493192
164,200,-200.0,-27.714111328125,0.6100227779155726
165,200,-200.0,-28.347387313842773,0.6081981833654763
166,200,-200.0,-28.417797088623047,0.606379046226796
167,200,-200.0,-28.404150009155273,0.6045653501762672
168,200,-200.0,-28.35707664489746,0.602757078939449
169,200,-200.0,-28.385345458984375,0.6009542162905773
170,200,-200.0,-29.031238555908203,0.5991567460524201
171,200,-200.0,-29.07146644592285,0.5973646520961318
172,200,-200.0,-29.076534271240234,0.5955779183411085
173,200,-200.0,-29.04690170288086,0.593796528754844
174,200,-200.0,-29.060232162475586,0.5920204673527857
175,200,-200.0,-29.734416961669922,0.5902497181981912
176,200,-200.0,-29.729259490966797,0.5884842654019853
177,200,-200.0,-29.722875595092773,0.5867240931226175
178,200,-200.0,-29.715194702148438,0.5849691855659198
179,200,-200.0,-29.713510513305664,0.5832195269849649
180,200,-200.0,-30.404224395751953,0.5814751016799252
181,200,-200.0,-30.398651123046875,0.5797358939979315
182,200,-200.0,-30.38309669494629,0.5780018883329328
183,200,-200.0,-30.40494728088379,0.5762730691255562
184,200,-200.0,-30.390024185180664,0.5745494208629673
185,200,-200.0,-31.075748443603516,0.5728309280787313
186,200,-200.0,-31.057846069335938,0.5711175753526733
187,200,-200.0,-31.051712036132812,0.5694093473107411
188,200,-200.0,-31.032506942749023,0.5677062286248665
189,200,-200.0,-31.0556583404541,0.5660082040128281
190,200,-200.0,-31.732213973999023,0.5643152582381139
191,200,-200.0,-31.719440460205078,0.5626273761097846
192,200,-200.0,-31.708831787109375,0.5609445424823377
193,200,-200.0,-31.71787452697754,0.559266742255571
194,200,-200.0,-31.702383041381836,0.5575939603744478
195,200,-200.0,-32.389400482177734,0.5559261818289609
196,200,-200.0,-32.35667037963867,0.554263391653999
197,200,-200.0,-32.346073150634766,0.5526055749292114
198,200,-200.0,-32.3353157043457,0.5509527167788748
199,200,-200.0,-32.352046966552734,0.5493048023717596
200,200,-200.0,-33.068275451660156,0.5476618169209967
201,200,-200.0,-33.00579071044922,0.546023745683945
202,200,-200.0,-33.00311279296875,0.5443905739620588
203,200,-200.0,-32.96855545043945,0.5427622871007566
204,200,-200.0,-32.99114990234375,0.5411388704892888
205,200,-200.0,-33.699337005615234,0.539520309560607
206,200,-200.0,-33.61347198486328,0.5379065897912334
207,200,-200.0,-33.61536407470703,0.53629769670113
208,200,-200.0,-33.616920471191406,0.5346936158535693
209,200,-200.0,-33.611839294433594,0.5330943328550044
210,200,-200.0,-34.304443359375,0.5314998333549397
211,200,-200.0,-34.24475860595703,0.5299101030458023
212,200,-200.0,-34.229820251464844,0.5283251276628139
213,200,-200.0,-34.220542907714844,0.5267448929838624
214,200,-200.0,-34.245399475097656,0.5251693848293744
215,200,-200.0,-34.94829559326172,0.5235985890621878
216,200,-200.0,-34.87857437133789,0.5220324915874256
217,200,-200.0,-34.859825134277344,0.5204710783523685
218,200,-200.0,-34.86504364013672,0.5189143353463296
219,200,-200.0,-34.863983154296875,0.517362248600528
220,200,-200.0,-35.56951904296875,0.5158148041879642
221,200,-200.0,-35.483680725097656,0.5142719882232943
222,200,-200.0,-35.4801025390625,0.5127337868627063
223,200,-200.0,-35.46267318725586,0.511200186303795
224,200,-200.0,-35.47266387939453,0.5096711727854388
225,200,-200.0,-36.1619987487793,0.5081467325876758
226,200,-200.0,-36.06328582763672,0.5066268520315812
227,200,-200.0,-36.087181091308594,0.5051115174791438
228,200,-200.0,-36.060760498046875,0.5036007153331444
229,200,-200.0,-36.072296142578125,0.5020944320370334
230,200,-200.0,-36.73598098754883,0.500592654074809
231,200,-200.0,-36.66313171386719,0.4990953679708964
232,200,-200.0,-36.69672775268555,0.49760256029002636
233,200,-200.0,-36.68022918701172,0.49611421763711505
234,200,-200.0,-36.692230224609375,0.4946303266571437
235,200,-200.0,-37.358116149902344,0.4931508740350386
236,200,-200.0,-37.27780532836914,0.491675846495552
237,200,-200.0,-37.30224609375,0.49020523080314266
238,200,-200.0,-37.29228973388672,0.48873901376185713
239,200,-200.0,-37.28015899658203,0.48727718221521155
240,200,-200.0,-37.94426727294922,0.4858197230460734
241,200,-200.0,-37.881752014160156,0.48436662317654383
242,200,-200.0,-37.862701416015625,0.4829178695678404
243,200,-200.0,-37.88069534301758,0.48147344922017987
244,200,-200.0,-37.86758804321289,0.48003334917266194
245,200,-200.0,-38.519981384277344,0.47859755650315255
246,200,-200.0,-38.44741439819336,0.4771660583281681
