episode,length,totalReward,avgQ,exploration
0,30,-6.0,-0.14079530537128448,0.9950248756218907
1,21,-13.0,-0.14079530537128448,0.990074503106359
2,12,-10.0,-0.14079530537128448,0.98514875930981
3,15,-1.0,-0.20899085700511932,0.9802475217013037
4,22,-8.0,-0.3098349869251251,0.9753706683595063
5,25,-3.0,-0.40440359711647034,0.970518077969658
6,13,-11.0,-0.47204336524009705,0.9656896298205554
7,36,0.0,-0.6412047147750854,0.9608852038015477
8,32,6.0,-0.5980648994445801,0.9561046803995501
9,43,-29.0,-0.5431753396987915,0.9513479406960699
10,42,-26.0,-0.8404720425605774,0.9466148663642487
11,12,-10.0,-0.893358588218689,0.9419053396659193
12,12,-8.0,-0.9179859161376953,0.937219243448676
13,23,5.0,-0.8946313858032227,0.9325564611429613
14,13,-5.0,-0.792468249797821,0.9279168767591656
15,55,-47.0,-0.8439712524414062,0.9233003748847419
16,14,-10.0,-0.8405852317810059,0.9187068406813353
17,11,-5.0,-0.8384701609611511,0.9141361598819259
18,35,-27.0,-0.7503795027732849,0.909588218787986
19,34,8.0,-0.7453252673149109,0.9050629042666528
20,14,-12.0,-0.7071703672409058,0.9005601037479133
21,11,-9.0,-0.6776110529899597,0.8960797052218044
22,33,-3.0,-0.7830206155776978,0.8916215972356263
23,22,-6.0,-0.7822074294090271,0.8871856688911706
24,15,-13.0,-0.7769723534584045,0.8827718098419609
25,16,-8.0,-0.7557809948921204,0.8783799102905084
26,14,-12.0,-0.7439576387405396,0.8740098609855806
27,35,-11.0,-0.7230516672134399,0.8696615532194834
28,16,-14.0,-0.7446078658103943,0.8653348788253566
29,45,11.0,-0.7025224566459656,0.8610297301744844
30,21,-3.0,-0.6964126229286194,0.8567460001736164
31,27,-23.0,-0.6806532144546509,0.8524835822623049
32,18,-16.0,-0.6567952036857605,0.8482423704102537
33,28,4.0,-0.6479282975196838,0.8440222591146804
34,57,29.0,-0.6295838356018066,0.839823143397692
35,14,-6.0,-0.7242258787155151,0.8356449188036738
36,14,-10.0,-0.6511582136154175,0.8314874813966904
37,34,-24.0,-0.711466908454895,0.827350727757901
38,22,-2.0,-0.7558396458625793,0.8232345549829861
39,19,-11.0,-0.48745885491371155,0.8191388606795883
40,28,-10.0,-0.7553545236587524,0.8150635429647646
41,41,13.0,-1.2629331350326538,0.8110085004624524
42,35,5.0,-1.4163662195205688,0.8069736323009478
43,17,1.0,-1.298445463180542,0.8029588381103959
44,33,-25.0,-1.3070911169052124,0.7989640180202945
45,29,-7.0,-1.071402907371521,0.7949890726570096
46,12,-10.0,-1.143552303314209,0.7910339031413032
47,19,-13.0,-1.2920920848846436,0.7870984110858739
48,12,-10.0,-1.1396300792694092,0.7831824985929094
49,34,6.0,-1.0133802890777588,0.7792860682516513
50,56,24.0,-1.0530744791030884,0.7754090231359715
51,39,-1.0,-1.2191338539123535,0.7715512668019617
52,21,-11.0,-0.8468987345695496,0.7677127032855341
53,44,-6.0,-1.2366353273391724,0.763893237100034
54,15,-13.0,-1.1198174953460693,0.7600927732338647
55,22,-8.0,-0.903333842754364,0.7563112171481242
56,18,-12.0,-0.8278428912162781,0.752548474774253
57,85,47.0,-0.8482280969619751,0.7488044525116946
58,137,15.0,-0.7197796106338501,0.7450790572255668
59,17,-7.0,-0.9717046618461609,0.7413721962443451
60,12,-6.0,-1.1250216960906982,0.7376837773575574
61,61,33.0,-0.8612116575241089,0.73401370881349
62,55,-7.0,-0.927237868309021,0.7303618993169055
63,52,-8.0,-1.0950586795806885,0.7267282580267718
64,15,-9.0,-0.8829924464225769,0.7231126945540018
65,49,-15.0,-0.7923123240470886,0.719515118959206
66,152,84.0,-1.3152209520339966,0.7159354417504538
67,51,-15.0,-0.9224359393119812,0.7123735738810486
68,35,11.0,-0.559167742729187,0.7088294267473121
69,62,-16.0,-0.6367772817611694,0.7053029121863803
70,24,0.0,-0.7228444218635559,0.7017939424740103
71,15,-11.0,-0.9589452743530273,0.6983024303223984
72,61,11.0,-0.7323492765426636,0.6948282888780084
73,21,1.0,-0.676802933216095,0.6913714317194114
74,54,-10.0,-0.7872394323348999,0.6879317728551358
75,81,11.0,-0.8998821377754211,0.6845092267215283
76,23,-1.0,-0.62801593542099,0.6811037081806252
77,47,21.0,-0.4831543564796448,0.6777151325180351
78,118,-4.0,-0.539987325668335,0.674343415440831
79,45,9.0,-0.6777200698852539,0.6709884730754538
80,64,-40.0,-0.5159246325492859,0.6676502219656257
81,117,1.0,-0.5002145767211914,0.6643285790702744
82,108,20.0,-0.008949577808380127,0.6610234617614672
83,21,-13.0,-0.25632351636886597,0.6577347878223555
84,52,22.0,-0.17997963726520538,0.6544624754451299
85,29,11.0,0.25001055002212524,0.651206443228985
86,36,6.0,0.11385531723499298,0.6479666101780946
87,64,-54.0,0.20150108635425568,0.6447428956995968
88,64,-24.0,0.2800655663013458,0.6415352196015889
89,21,5.0,-0.04136836528778076,0.6383435020911333
90,144,-6.0,0.1884177327156067,0.6351676637722721
91,36,14.0,0.20791693031787872,0.6320076256440519
92,48,-18.0,-0.01190121192485094,0.6288633090985591
93,111,-47.0,0.1461360901594162,0.6257346359189644
94,27,3.0,0.18599529564380646,0.6226215282775766
95,51,-11.0,0.372051864862442,0.6195239087339071
96,75,7.0,0.2301221340894699,0.6164417002327434
97,197,-47.0,0.3175981640815735,0.6133748261022323
98,75,39.0,0.20713916420936584,0.6103232100519724
