episode,length,totalReward,avgQ,exploration
215,166,-125.79319589156019,30.916818618774414,0.340510619341868
216,1000,-39.09344070287767,31.895755767822266,0.33881653665857514
217,1000,-88.04332200251123,32.73371505737305,0.3371308822473385
218,83,-27.8776822448324,32.467918395996094,0.33545361417645625
219,176,-152.81297212214298,32.755123138427734,0.33378469072284206
220,120,10.22598312448973,32.287025451660156,0.3321240703709872
221,197,-80.63631104779532,32.915809631347656,0.3304717118119276
222,1000,-8.80130291749312,33.07965850830078,0.3288275739422165
223,1000,-14.36458589423051,34.37508010864258,0.327191615862902
224,989,-214.9253061476922,34.09862518310547,0.3255637968785095
225,1000,-91.90803171627013,35.192039489746094,0.3239440764960294
226,1000,-29.521528634048632,36.1779670715332,0.3223324144239099
227,133,6.384798027430179,36.47760772705078,0.3207287705710547
228,407,-139.89866658403878,36.35518264770508,0.3191331050458256
229,189,-169.19866679291368,36.460426330566406,0.31754537815505035
230,1000,-12.541534079331836,36.92886734008789,0.3159655504030352
231,1000,-18.417938832348348,37.911128997802734,0.3143935824905823
232,119,-14.373322270888494,37.66143035888672,0.31282943531401225
233,815,-162.69270971260343,38.61809158325195,0.31127306996419135
234,1000,-83.10497561505387,38.054622650146484,0.30972444772556357
235,798,-179.5080533506437,38.69066619873047,0.3081835300751877
236,1000,-74.87128404525293,39.56486892700195,0.3066502786817788
237,191,-10.706951026460615,39.64262008666992,0.30512465540475503
238,153,-72.70945812361626,40.071685791015625,0.3036066222932886
239,759,111.36190988315818,39.977088928222656,0.30209614158536185
240,1000,-91.19658199620356,41.74728012084961,0.30059317570682775
241,182,-138.46904699595768,40.96433639526367,0.2990976872704754
242,1000,13.505399643964743,41.99275588989258,0.29760963907509996
243,1000,15.36202853238047,41.62538146972656,0.2961289941045771
244,1000,-82.44190028686813,43.154850006103516,0.2946557155269424
245,1000,10.553067412901736,43.46966552734375,0.2931897666934751
246,509,-145.59555715682703,43.454139709472656,0.29173111113778616
247,635,-126.82256470486868,44.08015823364258,0.29027971257491164
248,151,39.471104664482596,43.70691680908203,0.28883553490040964
249,1000,-55.534158906578085,44.031005859375,0.28739854218946237
250,1000,8.872232197005111,45.265560150146484,0.2859686986959825
251,1000,-29.77762315721463,45.243831634521484,0.28454596885172395
252,1000,29.482926021229535,45.4544563293457,0.283130317265397
253,1000,-45.78467304469203,46.490989685058594,0.2817217087217881
254,1000,-101.82607059768243,47.785003662109375,0.2803201081808837
255,1000,-129.00717742312594,48.335575103759766,0.27892548077699875
256,133,4.547941805660187,48.76349639892578,0.2775377918179092
257,1000,-40.79122083609446,48.81428909301758,0.2761570067839893
258,1000,-35.02581542180454,49.79682159423828,0.27478309132735257
259,1000,-42.109181559668194,50.7227783203125,0.2734160112709976
260,1000,-54.19012368180238,50.991302490234375,0.27205573260795785
261,130,-12.83905615048765,51.505821228027344,0.2707022215004556
262,1000,19.07589705191334,51.95640182495117,0.26935544427906033
263,1000,33.90630519453663,52.40900802612305,0.2680153674418511
264,1000,-55.863458439603775,53.38446807861328,0.2666819576535832
265,1000,-50.47029441340572,54.40825271606445,0.26535518174485895
266,155,5.450477461048436,55.09020233154297,0.2640350067113025
267,1000,-16.557398441006217,55.548484802246094,0.26272139971273883
268,1000,-39.60769986481752,56.71223068237305,0.26141432807237697
269,1000,-5.43902868888563,56.802650451660156,0.260113759275997
270,1000,-9.908960188380243,57.08478927612305,0.25881966097114134
271,1000,-2.67710379519463,57.511932373046875,0.2575320009663098
272,1000,6.640163873300035,58.344322204589844,0.256250747230159
273,1000,-49.57579598020367,59.47090530395508,0.2549758678907055
274,164,42.49789156175538,59.529075622558594,0.2537073312345328
275,1000,-27.770835401480674,60.01483154296875,0.2524451057060028
276,153,6.66638864818313,59.94602584838867,0.2511891599064705
277,1000,-29.135172121178464,60.4068603515625,0.24993946259350303
278,1000,0.25043724210912544,60.329917907714844,0.24869598268010254
279,1000,-42.2033465938786,61.50123977661133,0.2474586892339329
280,1000,-5.992548814701034,61.91423416137695,0.24622755147655018
281,1000,-7.754104292535047,62.45391082763672,0.24500253878263703
282,100,-169.4027651308218,62.2055549621582,0.24378362067924086
283,1000,-13.018825372519744,62.552528381347656,0.2425707668450158
284,1000,10.902790252290934,63.51568603515625,0.24136394710946849
285,1000,4.253288539964457,64.30509948730469,0.24016313145220747
286,1000,3.4111285900152994,63.784095764160156,0.23896829000219652
287,1000,7.403626966963125,64.5208969116211,0.23777939303701148
288,1000,-12.099514263075214,64.92718505859375,0.236596410982101
289,1000,7.039542514654192,65.07994079589844,0.23541931441005076
290,1000,19.95056454275274,65.77232360839844,0.23424807403985154
291,1000,42.04035030905833,64.78020477294922,0.2330826607361707
292,1000,25.857765452860633,65.55963897705078,0.23192304550862758
293,1000,8.706142770628256,66.72010040283203,0.23076919951107225
294,1000,-27.167430783744233,66.02568817138672,0.22962109404086795
295,1000,40.158344211310414,66.15694427490234,0.2284787005381771
296,1000,-24.929991520578564,66.77275085449219,0.22734199058525087
297,1000,-21.528322384273068,66.6607894897461,0.22621093590572228
298,104,-25.755296983436395,66.08869934082031,0.2250855083639028
299,1000,-12.032830510611868,66.58138275146484,0.2239656799640824
300,1000,24.13688961611733,67.0511703491211,0.22285142284983325
301,1000,-45.46855556438243,67.49009704589844,0.2217427093033167
302,1000,-15.40905652430506,66.75505065917969,0.22063951174459373
303,126,-31.728259420682278,67.10195922851562,0.21954180273093907
304,174,-190.16001500529975,66.49537658691406,0.2184495549561583
305,1000,-22.547076959632324,67.68347930908203,0.2173627412499088
306,1000,-19.340821896268388,68.57706451416016,0.2162813345770237
307,1000,1.0223648457387278,67.22844696044922,0.21520530803683952
308,1000,-37.317767259485315,67.19086456298828,0.2141346348625269
309,1000,12.454540314287453,67.04393005371094,0.2130692884204248
310,1000,18.97940295041637,67.06661987304688,0.21200924220937795
311,1000,-14.336789135365741,67.57965087890625,0.21095446986007757
312,1000,28.043753114106,67.08720397949219,0.20990494513440555
313,1000,10.569442254945447,67.20328521728516,0.20886064192478165
314,1000,-20.043040042124215,67.95960998535156,0.2078215342535141
315,1000,-27.36190234025384,66.1277847290039,0.20678759627215335
316,1000,-42.5051696766124,67.2096939086914,0.2057588022608491
317,1000,-54.42762288866533,67.29557800292969,0.20473512662771057
318,157,-76.28089292803843,66.55683898925781,0.20371654390816973
